t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.41 2.92259 2.68815 0.26474 -0.209651 0.0341891 5.59108 5.04616 8.50108 12.5781 14.3007 16.0772 15.7125 15.5454 14.3528 12.2801 11.3778 9.71131 6.51135 6.23607 4.61867 0.436468 0.0658806 0.395957 0.482875 0.0822985 0.0637195 0.692554 0.0742652 0.727611 0.881745 0.0688717 0.0666747 0.924669 0.0838912 0.951863 0.960505 0.0781873 0.0915314 0.951885 0.0914522 0.949042 0.922173 0.102524 0.0889365 0.889014 0.0836521 0.863998 0.797416 0.0955083 0.0950409 0.725945 0.0825116 0.692274 0.625999 0.0726082 0.0775151 0.0236747 0.0217876 0.0231815 0.0213337 0.0226883 0.0208798 0.0221951 0.0204259 0.0217018 0.0199719 0.0212086 0.019518 0.303316 0.286942 0.296094 0.303836 0.288872 0.319573 0.420843 0.440733 0.410053 0.459483 0.399262 0.476652 0.476768 0.484666 0.463524 0.471408 0.450281 0.458139 0.440541 0.436276 0.427191 0.41764 0.413841 0.399342 0.373063 0.364378 0.360628 0.341698 0.348192 0.319746 0.283937 0.278552 0.27342 0.259063 0.262904 0.240279
0.45 2.72241 2.38989 0.243669 -0.186698 -0.0611864 5.18782 4.31021 7.63686 11.9593 14.0084 16.1565 16.0276 15.9876 14.8208 12.8079 11.7794 10.0391 6.78541 6.38752 4.68637 0.425926 0.0678282 0.384556 0.464906 0.0833076 0.0650089 0.668118 0.0783414 0.69164 0.866861 0.0708761 0.0667536 0.921572 0.0881608 0.956025 0.968009 0.0815102 0.0940352 0.960966 0.094786 0.960133 0.935314 0.105828 0.0937476 0.905147 0.0865777 0.87848 0.808208 0.0992485 0.0994476 0.736587 0.0830927 0.69432 0.622221 0.0768184 0.0818763 0.0223899 0.0209627 0.0219234 0.020526 0.021457 0.0200893 0.0209905 0.0196525 0.0205241 0.0192158 0.0200576 0.0187791 0.289422 0.269996 0.282531 0.287638 0.27564 0.304105 0.408372 0.426859 0.397901 0.451658 0.387429 0.474576 0.479413 0.490355 0.466096 0.47782 0.452779 0.465223 0.447582 0.444532 0.434019 0.425457 0.420455 0.406733 0.380126 0.37049 0.367455 0.346203 0.354784 0.322739 0.285506 0.276648 0.274932 0.255809 0.264358 0.235785
0.49 2.56251 2.1271 0.218101 -0.161099 -0.127415 4.8969 3.70137 6.85785 11.279 13.5763 16.0725 16.1823 16.3417 15.2187 13.2678 12.1291 10.3301 7.07069 6.52699 4.74795 0.417772 0.0696583 0.37699 0.450065 0.084332 0.06638 0.646913 0.0821028 0.655553 0.848158 0.0730012 0.0668659 0.915303 0.0926045 0.958081 0.973362 0.0846644 0.0964205 0.967666 0.0983382 0.9687 0.94639 0.10922 0.0985123 0.919463 0.089538 0.891864 0.819262 0.10319 0.104084 0.748968 0.0837913 0.698162 0.620893 0.0811992 0.0865316 0.0212591 0.0201846 0.0208162 0.0197641 0.0203733 0.0193436 0.0199304 0.0189231 0.0194875 0.0185025 0.0190446 0.018082 0.278431 0.257031 0.271801 0.274477 0.265172 0.290772 0.395818 0.410667 0.385668 0.441409 0.375519 0.469979 0.48021 0.494584 0.46687 0.482799 0.453531 0.470902 0.453439 0.451503 0.439698 0.432284 0.425958 0.413412 0.38701 0.376574 0.37411 0.350961 0.36121 0.326249 0.28814 0.275844 0.277468 0.253752 0.266796 0.232574
0.53 2.43669 1.90104 0.19343 -0.137159 -0.170519 4.6861 3.21637 6.17421 10.5964 13.0359 15.8489 16.1893 16.6219 15.5589 13.6574 12.4296 10.5842 7.36047 6.65277 4.80177 0.411297 0.0713977 0.371976 0.437917 0.0853544 0.0678225 0.629032 0.0854747 0.621634 0.826317 0.0752856 0.0670991 0.906028 0.0972122 0.958233 0.977051 0.0876169 0.0986462 0.972442 0.102086 0.975234 0.955575 0.112684 0.103219 0.931754 0.0925674 0.903928 0.830099 0.107304 0.108902 0.762386 0.084611 0.703041 0.621123 0.0857704 0.0914937 0.0202716 0.0194649 0.0198493 0.0190594 0.019427 0.0186538 0.0190047 0.0182483 0.0185823 0.0178428 0.01816 0.0174373 0.269742 0.247301 0.26332 0.263903 0.256897 0.279408 0.383864 0.393236 0.374021 0.429383 0.364178 0.463097 0.47924 0.497502 0.465928 0.486506 0.452615 0.475348 0.458175 0.457267 0.444291 0.438128 0.430407 0.419319 0.393481 0.382449 0.380365 0.355788 0.367249 0.330087 0.291643 0.275935 0.280841 0.252684 0.270039 0.230435
0.57 2.33712 1.71018 0.172845 -0.117617 -0.196038 4.52549 2.84318 5.58687 9.95688 12.4174 15.5087 16.0616 16.8383 15.8514 13.9761 12.6839 10.8011 7.64699 6.76314 4.84608 0.406094 0.0730658 0.368638 0.428084 0.0863663 0.0693236 0.61405 0.0884258 0.591391 0.802265 0.0777353 0.0675202 0.894057 0.101974 0.956545 0.979455 0.0903393 0.100668 0.975698 0.106006 0.980181 0.963108 0.116205 0.107863 0.942039 0.0956917 0.914606 0.840405 0.111558 0.113854 0.776246 0.0855519 0.708402 0.622262 0.0905487 0.0967754 0.0194137 0.0188084 0.0190093 0.0184166 0.0186048 0.0180248 0.0182004 0.0176329 0.0177959 0.0172411 0.0173915 0.0168492 0.262858 0.240104 0.2566 0.25548 0.250341 0.269826 0.372904 0.375622 0.363342 0.416257 0.353781 0.454246 0.476602 0.499225 0.463363 0.489092 0.450124 0.478745 0.461902 0.461951 0.447905 0.443047 0.433908 0.42445 0.399376 0.387981 0.386063 0.360529 0.372751 0.334079 0.295802 0.276703 0.284847 0.25238 0.273891 0.229141
0.61 2.25687 1.55188 0.157493 -0.103486 -0.20826 4.39335 2.56622 5.09186 9.39073 11.7498 15.0742 15.814 16.9977 16.1041 14.226 12.8958 10.9818 7.9232 6.85715 4.87969 0.401904 0.0746759 0.366381 0.420211 0.0873657 0.07087 0.601363 0.0909675 0.565536 0.777096 0.0803287 0.0681697 0.879916 0.106876 0.95295 0.98084 0.092815 0.102447 0.977745 0.110079 0.98391 0.96924 0.119766 0.11244 0.950476 0.0989276 0.923933 0.849979 0.115925 0.118903 0.790053 0.0866135 0.713847 0.623842 0.095547 0.102387 0.0186719 0.0182172 0.0182829 0.0178376 0.0178939 0.0174581 0.0175049 0.0170786 0.0171159 0.0166991 0.0167269 0.0163195 0.257389 0.234837 0.251261 0.24881 0.245133 0.261829 0.363086 0.358709 0.353777 0.402665 0.344467 0.443823 0.472443 0.499825 0.45932 0.490681 0.446196 0.481267 0.464751 0.465706 0.450667 0.447134 0.436584 0.428841 0.404605 0.393082 0.391118 0.365066 0.377631 0.338079 0.300408 0.277942 0.289282 0.25263 0.278156 0.228473
0.65 2.19067 1.42288 0.146993 -0.0943187 -0.210268 4.27664 2.36866 4.68193 8.91371 11.0595 14.5674 15.463 17.1045 16.3224 14.4114 13.0701 11.1284 8.18355 6.93483 4.90214 0.398535 0.0762367 0.36481 0.41397 0.0883555 0.0724498 0.59042 0.0931449 0.544164 0.751914 0.0830261 0.0690615 0.86435 0.111892 0.947265 0.981375 0.0950457 0.103956 0.9788 0.114287 0.986712 0.974202 0.123351 0.116952 0.957289 0.102284 0.932001 0.858715 0.12038 0.124016 0.803417 0.0877955 0.719101 0.625534 0.100773 0.108334 0.0180363 0.0176934 0.0176605 0.0173248 0.0172848 0.0169562 0.016909 0.0165876 0.0165333 0.016219 0.0161575 0.0158503 0.253034 0.231005 0.24701 0.243554 0.240985 0.255223 0.354395 0.343134 0.345308 0.389159 0.336221 0.432298 0.46698 0.499324 0.454008 0.491361 0.441037 0.483061 0.466848 0.468682 0.452701 0.450493 0.438554 0.432552 0.409141 0.397706 0.395503 0.369316 0.381865 0.341971 0.305263 0.279477 0.293957 0.25325 0.282651 0.228244
0.69 2.1348 1.31955 0.140098 -0.0888252 -0.204323 4.16909 2.23385 4.34756 8.52904 10.3692 14.0094 15.0272 17.1616 16.5095 14.5377 13.2124 11.2444 8.4242 6.997 4.91357 0.395825 0.0777542 0.363676 0.409073 0.0893402 0.0740521 0.580813 0.0950227 0.526974 0.727674 0.0857801 0.0701887 0.848226 0.116977 0.939229 0.981149 0.0970581 0.105189 0.978994 0.118616 0.988811 0.9782 0.126942 0.121395 0.962718 0.105765 0.938934 0.866575 0.124903 0.12917 0.816048 0.0890984 0.723982 0.627109 0.106228 0.114619 0.0175045 0.0172441 0.0171398 0.0168848 0.0167751 0.0165256 0.0164104 0.0161663 0.0160458 0.0158071 0.0156811 0.0154478 0.249561 0.228223 0.243619 0.239426 0.237677 0.249818 0.346728 0.329279 0.337837 0.376179 0.328947 0.420167 0.460506 0.497693 0.447715 0.491177 0.434923 0.484242 0.468303 0.471019 0.454112 0.453228 0.439921 0.435657 0.413002 0.401838 0.399236 0.373229 0.385469 0.345669 0.310195 0.281163 0.298707 0.254089 0.287218 0.228298
0.73 2.08684 1.23813 0.135342 -0.0854896 -0.192292 4.0688 2.14648 4.07824 8.23063 9.69823 13.4204 14.5278 17.1707 16.6665 14.6107 13.3286 11.3347 8.64286 7.04508 4.91457 0.393633 0.0792329 0.362831 0.405274 0.0903247 0.0756668 0.572284 0.0966724 0.513458 0.705077 0.0885437 0.0715303 0.832381 0.122068 0.928554 0.980183 0.0989045 0.106166 0.978389 0.123052 0.990375 0.981409 0.130518 0.125768 0.966994 0.109367 0.944871 0.873573 0.129474 0.134346 0.827753 0.0905233 0.728385 0.628423 0.111909 0.121238 0.0170866 0.0168865 0.0167306 0.0165347 0.0163746 0.0161829 0.0160187 0.0158311 0.0156627 0.0154793 0.0153067 0.0151275 0.246785 0.226201 0.240909 0.236194 0.235033 0.245437 0.339959 0.317306 0.331243 0.364048 0.322526 0.407902 0.45337 0.494862 0.440776 0.490137 0.428183 0.484896 0.469201 0.472839 0.454983 0.45544 0.440765 0.438233 0.416235 0.405492 0.402361 0.376781 0.388486 0.349118 0.315061 0.282887 0.303392 0.25503 0.291723 0.228509
0.77 2.04518 1.17492 0.131528 -0.0830295 -0.175909 3.9761 2.09331 3.86348 8.00635 9.0623 12.8194 13.987 17.1324 16.793 14.6356 13.4251 11.4045 8.83848 7.08092 4.906 0.391838 0.0806773 0.362192 0.402367 0.0913128 0.0772845 0.564691 0.0981615 0.503026 0.684539 0.0912762 0.0730578 0.817467 0.127083 0.915019 0.978446 0.100659 0.106924 0.976988 0.127587 0.991528 0.983973 0.134057 0.130061 0.970318 0.113085 0.949948 0.879762 0.134082 0.139534 0.838419 0.0920717 0.732262 0.629388 0.11781 0.128184 0.0168153 0.016659 0.016465 0.0163119 0.0161147 0.0159648 0.0157643 0.0156178 0.015414 0.0152707 0.0150637 0.0149237 0.244558 0.224725 0.238735 0.233672 0.232912 0.241921 0.333972 0.307212 0.325409 0.352972 0.316845 0.395909 0.445929 0.49074 0.433542 0.488225 0.421155 0.485074 0.469603 0.474245 0.455373 0.457216 0.441143 0.440353 0.418903 0.408695 0.40494 0.379971 0.390976 0.352288 0.319745 0.284568 0.307903 0.255981 0.296061 0.228783
